ENG_Class,ASL_SIGN_ID,ASL_SIGN_DIR
"a",0,"a_small.png"
"b",1,"b_small.png"
"c",2,"c_small.png"
"d",3,"d_small.png"
"e",4,"e_small.png"
"f",5,"f_small.png"
"g",6,"g_small.png"
"h",7,"h_small.png"
"i",8,"i_small.png"
"j",9,"j_small.png"
"k",10,"k_small.png"
"l",11,"l_small.png"
"m",12,"m_small.png"
"n",13,"n_small.png"
"o",14,"o_small.png"
"p",15,"p_small.png"
"q",16,"q_small.png"
"r",17,"r_small.png"
"s",18,"s_small.png"
"t",19,"t_small.png"
"u",20,"u_small.png"
"v",21,"v_small.png"
"w",22,"w_small.png"
"x",23,"x_small.png"
"y",24,"y_small.png"
"z",25,"z_small.png"
"0",26,"0_small.png"
"1",27,"1_small.png"
"2",28,"2_small.png"
"3",29,"3_small.png"
"4",30,"4_small.png"
"5",31,"5_small.png"
"6",32,"6_small.png"
"7",33,"7_small.png"
"8",34,"8_small.png"
"9",35,"9_small.png"
" ",36,"Space_small.png"
